epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,197.722,0.52088,0.60825,1.03886,0.84496,0.51937,0.61493,0.48712,0.92564,1.23886,1.18899,0.0007724,0.0007724,0.0007724
95,199.625,0.44831,0.53977,0.98832,0.70579,0.57143,0.62262,0.45352,1.01503,1.37023,1.20977,0.0007592,0.0007592,0.0007592
96,201.212,0.41939,0.52734,0.98609,0.8543,0.55911,0.66555,0.49602,1.05143,1.37511,1.22028,0.000746,0.000746,0.000746
97,202.769,0.44539,0.53121,0.97833,0.8543,0.55911,0.66555,0.49602,1.05143,1.37511,1.22028,0.0007328,0.0007328,0.0007328
98,204.321,0.46332,0.58338,1.04299,0.75616,0.61905,0.68798,0.51753,0.95974,1.28848,1.16055,0.0007196,0.0007196,0.0007196
99,206.04,0.4422,0.50829,0.98059,0.97638,0.52381,0.68071,0.54987,0.86334,1.28278,1.11125,0.0007064,0.0007064,0.0007064
100,207.663,0.4263,0.51011,0.96578,0.99458,0.57143,0.65539,0.53057,0.80237,1.31014,1.09917,0.0006932,0.0006932,0.0006932
101,209.357,0.42331,0.5315,0.97893,0.99458,0.57143,0.65539,0.53057,0.80237,1.31014,1.09917,0.00068,0.00068,0.00068
102,211.753,0.39251,0.50619,0.97184,0.99343,0.57143,0.64595,0.49797,0.87232,1.35056,1.25597,0.0006668,0.0006668,0.0006668
103,213.6,0.47177,0.56339,1.00806,0.99133,0.57143,0.63837,0.48477,0.91866,1.35575,1.32974,0.0006536,0.0006536,0.0006536
104,215.198,0.41805,0.53396,0.9866,0.97868,0.57143,0.65133,0.49843,0.9548,1.35149,1.40085,0.0006404,0.0006404,0.0006404
105,216.772,0.45123,0.54097,1.00468,0.97868,0.57143,0.65133,0.49843,0.9548,1.35149,1.40085,0.0006272,0.0006272,0.0006272
106,218.294,0.48089,0.51921,0.9894,0.99438,0.57143,0.66637,0.51661,0.95169,1.3285,1.41283,0.000614,0.000614,0.000614
107,220.012,0.41255,0.513,0.9981,0.86133,0.61905,0.67135,0.5153,0.95787,1.2868,1.4511,0.0006008,0.0006008,0.0006008
108,221.57,0.40337,0.49714,0.96329,0.84387,0.57143,0.66415,0.47694,0.90318,1.30555,1.39921,0.0005876,0.0005876,0.0005876
109,223.521,0.39379,0.47778,0.95874,0.84387,0.57143,0.66415,0.47694,0.90318,1.30555,1.39921,0.0005744,0.0005744,0.0005744
110,225.828,0.44447,0.52931,0.9842,0.8213,0.61905,0.6763,0.49891,0.86961,1.24238,1.28571,0.0005612,0.0005612,0.0005612
111,227.678,0.42278,0.57372,1.00425,0.80541,0.61905,0.67174,0.48816,0.84616,1.25321,1.23358,0.000548,0.000548,0.000548
112,229.37,0.44409,0.50602,1.01375,0.78989,0.61905,0.6636,0.49138,0.84854,1.28042,1.22079,0.0005348,0.0005348,0.0005348
113,230.949,0.38003,0.4593,0.93848,0.78989,0.61905,0.6636,0.49138,0.84854,1.28042,1.22079,0.0005216,0.0005216,0.0005216
114,232.521,0.42493,0.54697,1.00712,0.75786,0.61905,0.6448,0.4843,0.84723,1.24798,1.21383,0.0005084,0.0005084,0.0005084
115,234.077,0.44134,0.48384,0.96461,0.76093,0.61905,0.65169,0.49224,0.85009,1.26914,1.20031,0.0004952,0.0004952,0.0004952
116,235.678,0.40769,0.46249,0.95496,0.90902,0.52381,0.64799,0.49734,0.82482,1.25966,1.19088,0.000482,0.000482,0.000482
117,237.761,0.38697,0.46419,0.96616,0.90902,0.52381,0.64799,0.49734,0.82482,1.25966,1.19088,0.0004688,0.0004688,0.0004688
118,240.173,0.39674,0.42601,0.97479,0.91656,0.52314,0.64266,0.51892,0.78903,1.25837,1.17714,0.0004556,0.0004556,0.0004556
119,241.757,0.35291,0.43886,0.93323,0.91645,0.52247,0.66492,0.53341,0.80211,1.21819,1.19379,0.0004424,0.0004424,0.0004424
120,243.427,0.41546,0.48155,0.9774,0.79902,0.56818,0.67083,0.54851,0.85008,1.20272,1.27713,0.0004292,0.0004292,0.0004292
121,244.964,0.42569,0.47393,1.03054,0.79902,0.56818,0.67083,0.54851,0.85008,1.20272,1.27713,0.000416,0.000416,0.000416
122,246.527,0.40857,0.46748,1.00689,1,0.52172,0.68385,0.55153,0.85755,1.22781,1.25684,0.0004028,0.0004028,0.0004028
123,248.135,0.36638,0.44688,0.93264,0.80975,0.60856,0.68285,0.55892,0.85524,1.2637,1.24571,0.0003896,0.0003896,0.0003896
124,249.751,0.43962,0.48469,1.00773,0.98877,0.52381,0.68396,0.55235,0.86337,1.26063,1.26961,0.0003764,0.0003764,0.0003764
125,251.862,0.36168,0.43491,0.97415,0.98877,0.52381,0.68396,0.55235,0.86337,1.26063,1.26961,0.0003632,0.0003632,0.0003632
126,254.138,0.39143,0.45364,0.98416,0.9903,0.52381,0.69181,0.54108,0.85548,1.26635,1.25337,0.00035,0.00035,0.00035
127,255.72,0.34977,0.42172,0.97607,0.99149,0.52381,0.70176,0.55343,0.85021,1.27326,1.25551,0.0003368,0.0003368,0.0003368
128,257.406,0.41378,0.47143,1.01475,0.9911,0.52381,0.69117,0.55216,0.84036,1.29577,1.2393,0.0003236,0.0003236,0.0003236
129,258.904,0.36159,0.47208,0.97422,0.9911,0.52381,0.69117,0.55216,0.84036,1.29577,1.2393,0.0003104,0.0003104,0.0003104
130,260.544,0.40809,0.44849,0.98825,0.99056,0.52381,0.69875,0.54052,0.86496,1.31814,1.25166,0.0002972,0.0002972,0.0002972
131,262.12,0.34775,0.42051,0.96142,0.95784,0.52381,0.69291,0.52297,0.87076,1.30993,1.24861,0.000284,0.000284,0.000284
132,263.681,0.36086,0.42724,0.9434,0.85508,0.56247,0.69134,0.53983,0.85624,1.28692,1.2397,0.0002708,0.0002708,0.0002708
133,266.047,0.33143,0.42959,0.90988,0.85508,0.56247,0.69134,0.53983,0.85624,1.28692,1.2397,0.0002576,0.0002576,0.0002576
134,268.22,0.36637,0.4461,0.98259,0.85693,0.5705,0.69352,0.54951,0.82576,1.25296,1.21006,0.0002444,0.0002444,0.0002444
135,269.788,0.34605,0.44468,0.96371,0.98658,0.52381,0.69511,0.55658,0.80115,1.2197,1.18308,0.0002312,0.0002312,0.0002312
